urban,recommand,zone,desc,region,price,unitprice,age
gulou,金陵御沁园 新出电梯三房 小高层中间楼层 不临街,金陵御沁园 , | 3室2厅 | 131.1平米 | 南 | 精装 | 有电梯,龙江,525,40046,中楼层(共11层)2004年建板塔结合  -  
gulou,满五年 双卧朝南厨卫朝北 交通便利 配套齐全 随时看房,幕府佳园 , | 2室1厅 | 92.74平米 | 南 | 精装 | 有电梯,金陵小区,240,25879,高楼层(共11层)2006年建板楼  -  
gulou,汉中门大街 凤凰庄 芳草园凤凰校区 中间楼层 地铁口,凤凰庄 , | 2室1厅 | 50.1平米 | 南 北 | 简装 | 无电梯,汉中门大街,205,40919,低楼层(共6层)1993年建板楼  -  
gulou,五塘广场 精装刚需两房 29中 家具家电全留,黄方村1号 , | 2室1厅 | 45.71平米 | 南 北 | 精装,五塘广场,113,24722,高楼层(共6层)1999年建板塔结合  -  
gulou,苏宁千秋情缘 大四房 满五年唯一 全明格局 拎包入住,苏宁千秋情缘花园 , | 4室2厅 | 165.93平米 | 南 北 | 精装 | 有电梯,龙江,750,45200,低楼层(共25层)2005年建板塔结合  -  
gulou,五塘广场 金陵小区 简装两房 南北户型 交通便利,燕康园 , | 2室1厅 | 49.78平米 | 南 北 | 简装 | 无电梯,金陵小区,127,25513,低楼层(共7层)2003年建板塔结合  -  
gulou,金舟花园  银城汇文  精装修  中间楼层 看房方便,金舟花园 , | 2室1厅 | 64.67平米 | 南 北 | 精装 | 有电梯,龙江,430,66492,低楼层(共7层)1996年建板塔结合  -  
gulou,◆◆龙江芳草园分校施教区◆前面无遮挡◆地铁口◆◆,新城市广场 , | 3室2厅 | 57.9平米 | 南 | 精装 | 有电梯,龙江,305,52678,高楼层(共18层)2005年建塔楼  -  
gulou,装修好 视野开阔 秦淮景观 交通便利,阳光广场 , | 3室2厅 | 111.8平米 | 南 | 简装 | 有电梯,龙江,415,37120,中楼层(共32层)2000年建塔楼  -  
gulou,紫竹林1号 许府巷 黑龙江路 南瑞路  配套成熟,紫竹林1号 , | 3室1厅 | 87.64平米 | 南 北 | 简装 | 无电梯,许府巷,288,32862,中楼层(共7层)2000年建板楼  -  
gulou,金陵村 满五年 南北通透 06年的婚装房 交通便利,金陵村 , | 2室1厅 | 67.33平米 | 南 北 | 精装 | 有电梯,金陵小区,165,24507,高楼层(共7层)2003年建板楼  -  
gulou,满五年 电梯三房 居家装修 龙江商圈 配套成熟 诚心卖,月光广场 , | 3室2厅 | 117.15平米 | 东南 | 简装 | 有电梯,龙江,382,32608,低楼层(共32层)2000年建塔楼  -  
gulou,边户，视野和采光都不错，4号地铁口,新城市广场 , | 2室1厅 | 58.31平米 | 西 西北 北 | 简装 | 有电梯,龙江,275,47162,高楼层(共18层)2005年建塔楼  -  
gulou,汉中门大街 莫愁湖地铁 双楠双北西边户 采光好 通透好,汉北街 , | 2室1厅 | 68.24平米 | 南 北 | 简装 | 无电梯,汉中门大街,245,35903,中楼层(共7层)1994年建板楼  -  
gulou,世茂滨江 满五唯一 精装修 没人住过户型方正 采光充足,世茂滨江新城 , | 3室2厅 | 191.31平米 | 南 | 精装 | 有电梯,热河南路,700,36590,中楼层(共62层)2010年建板塔结合  -  
gulou,五塘广场 视野宽阔 采光充足 南北户型,幕府西路85号 , | 2室1厅 | 55.17平米 | 南 北 | 简装 | 无电梯,建宁路,121,21933,高楼层(共7层)板楼  -  
gulou,月光A套 满五年 楼层好 电梯三房 地铁口 配套成熟,月光广场 , | 3室2厅 | 121.85平米 | 东 南 | 简装 | 有电梯,龙江,436,35782,高楼层(共32层)2000年建塔楼  -  
gulou,三牌楼大街 交通一村 交通便利 精装低楼层 配套齐全,交通一村 , | 2室1厅 | 58.52平米 | 南 | 精装 | 无电梯,三牌楼,160,27342,中楼层(共5层)1990年建板楼  -  
gulou,精装修两房 全明户型 中间楼层 采光无忧 五十中,铁路南街 , | 2室1厅 | 54.08平米 | 西南 | 精装 | 无电梯,湖南路,175,32360,中楼层(共7层)1985年建板楼  -  
gulou,上海路 五台山小区 双南一北 中间层 采光好 居家装修,五台山 , | 3室1厅 | 65.77平米 | 南 北 | 简装 | 无电梯,华侨路,320,48655,中楼层(共5层)1990年建板楼  -  
gulou,中海2010年小区，此房层高3米，满五唯一,中海凯旋门 , | 2室1厅 | 72.1平米 | 北 | 其他 | 有电梯,福建路,249,34536,中楼层(共24层)2010年建板楼  -  
gulou,镇江路 回龙桥8号院 陪读好房 精装修四楼 拎包入住,回龙桥8号 , | 2室1厅 | 57.4平米 | 南 北 | 精装 | 无电梯,三牌楼,161,28049,中楼层(共7层)1990年建板塔结合  -  
gulou,银城物业 满五唯一 银城汇文学籍不占 精装修 中楼层,长阳花园 , | 2室2厅 | 111.26平米 | 南 北 | 精装 | 无电梯,龙江,630,56625,高楼层(共6层)2007年建板楼  -  
gulou,满五年商品房 小区出新 出行方便 业主诚售,苏宁乐瑰园 , | 3室1厅 | 79.72平米 | 东 南 | 精装 | 有电梯,凤凰西街,350,43904,中楼层(共8层)1999年建板楼  -  
gulou,双南户型 明厨明卫明厅 小区里面不临街,华保新寓 , | 2室2厅 | 64.5平米 | 南 | 简装 | 无电梯,草场门大街,230,35659,高楼层(共6层)1998年建板楼  -  
gulou,龙江新城市广场，地理位置优越，居家装修，挑高3房,新城市广场 , | 3室1厅 | 57.76平米 | 南 | 精装 | 有电梯,龙江,305,52805,中楼层(共18层)2005年建塔楼  -  
gulou,漫城名苑 满五年  改善四房 中间楼层 芳草园凤凰校区,漫城名苑 , | 4室2厅 | 153.72平米 | 南 北 | 精装 | 有电梯,凤凰西街,640,41635,中楼层(共18层)2005年建板楼  -  
